src_lang	tgt_lang	src	tgt
eng_Latn	tel_Telu	wake me up at five am this week	ఈ వారం ఉదయం ఐదు గంటలకు నన్ను మేల్కొలపండి
eng_Latn	tel_Telu	wake me up at nine am on friday	శుక్రవారం ఉదయం తొమ్మిది గంటలు కి నన్ను నిద్ర లేపు
eng_Latn	tel_Telu	set an alarm for two hours from now	ఇప్పటి నుండి రెండు గంటలకు అలారం సెట్ చేయి
eng_Latn	tel_Telu	quiet	నిశ్శబ్దంగా
eng_Latn	tel_Telu	olly quiet	ఒల్లీ నిశ్శబ్దంగా ఉండు
eng_Latn	tel_Telu	stop	ఆపండి
eng_Latn	tel_Telu	olly pause for ten seconds	ఓలి పదిహేను సెకండ్లు పోజ్ చేయి
eng_Latn	tel_Telu	pause for ten seconds	పది సెకన్లు పాజ్ చేయండి
eng_Latn	tel_Telu	pink is all we need	గులాబీ మనకు కావలసిందల్లా
eng_Latn	tel_Telu	make the lighting bit more warm here	ఇక్కడ కాంతి ఇంకా కొంచం వేడి గా మార్చు
eng_Latn	tel_Telu	please set the lighting suitable for reading	దయచేసి చదవడానికి తగిన లైటింగ్‌ని సెట్ చేయండి
eng_Latn	tel_Telu	turn the lights off please	దయచేసి లైట్లను ఆఫ్ చేయండి
eng_Latn	tel_Telu	time to sleep	నిద్రించుటకు వేళయ్యింది
eng_Latn	tel_Telu	time to sleep olly	ఒల్లీ నిద్రపోయే సమయం
eng_Latn	tel_Telu	and the darkness has fallen	మరియు చీకటి పడిపోయింది
eng_Latn	tel_Telu	turn off the light in the bathroom	బాత్రూంలో లైట్ ఆఫ్ చేయండి
eng_Latn	tel_Telu	olly dim the lights in the hall	ఓలి హాలు లో లైట్స్ డిం చేయి
eng_Latn	tel_Telu	dim the lights in the hall	హాల్లో లైట్లు డిమ్ చేయండి
eng_Latn	tel_Telu	turn the lights off in the bedroom	పడకగదిలో లైట్లు ఆఫ్ చేయండి
eng_Latn	tel_Telu	olly turn the lights off in the bedroom	ఓలీ బెడ్ రూమ్ లో లైట్లు ఆఫ్ చేయండి
eng_Latn	tel_Telu	set lights to twenty percent	ఇరవై శాతం లైట్లు సెట్
eng_Latn	tel_Telu	olly set lights to twenty percent	ఇరవై శాతం వరకు ఒల్లీ సెట్ లైట్లు
eng_Latn	tel_Telu	dim the lights in the kitchen olly	వంటగదిలో లైట్లను డిమ్ చేయండి ఓలీ
eng_Latn	tel_Telu	dim the lights in the kitchen	వంటగదిలో లైట్లను మసకబారడం
eng_Latn	tel_Telu	make a room darker	గదిని చీకటిగా చేయండి
eng_Latn	tel_Telu	olly clean the flat	ఒల్లీ ఫ్లాట్ శుభ్రం
eng_Latn	tel_Telu	clean the flat	ఫ్లాట్ శుభ్రం
eng_Latn	tel_Telu	it's dirty here make some noise	ఇక్కడ మురికిగా ఉంది కొంచెం శబ్దం చేయండి
eng_Latn	tel_Telu	vacuum the house	ఇంటిని వాక్యూమ్ చేయండి
eng_Latn	tel_Telu	vacuum the house olly	ఓలి ఆఫీస్ రూమ్ నీటుగా చేయి
eng_Latn	tel_Telu	cleaning is good dust is so bad do now your magic clean my carpet	శుభ్రపరచడం మంచిది దుమ్ము చాలా చెడ్డది ఇప్పుడు మీ మేజిక్ నా కార్పెట్‌ ను శుభ్రం చేయండి
eng_Latn	tel_Telu	hoover the hallway	హాలు లో హోవర్ చేయండి
eng_Latn	tel_Telu	hoover the carpets around	చుట్టూత కార్పెట్లు శుభ్రము చేయి
eng_Latn	tel_Telu	check when the show starts	ప్రదర్శన ఎప్పుడు ప్రారంభమవుతుందో తనిఖీ చేయండి
eng_Latn	tel_Telu	i want to listen arijit singh song once again	నేను అరిజిత్ సింగ్ పాట మరల వినాలనుకుంటున్నాను
eng_Latn	tel_Telu	i want to play that music one again	ఆ మ్యూజిక్ మళ్ళి ప్లే చెయ్యాలి అనుకుంటున్నాను
eng_Latn	tel_Telu	check my car is ready	నా కారు సిద్ధంగా ఉందో లేదో తనిఖీ చేయండి
eng_Latn	tel_Telu	check my laptop is working	నా ల్యాప్‌టాప్ పని చేస్తుందో తనిఖీ చేయండి
eng_Latn	tel_Telu	is the brightness of my screen running low	నా స్క్రీన్ ప్రకాశం తక్కువగా ఉంది
eng_Latn	tel_Telu	i need to have location services on can you check	నేను లొకేషన్ సర్వీస్‌లను కలిగి ఉండాలి మీరు తనిఖీ చేయవచ్చు
eng_Latn	tel_Telu	check the status of my power usage	నా విద్యుత్ వినియోగం స్టేటస్ తనిఖీ చేయండి
eng_Latn	tel_Telu	i want the status on my screen brightness	నా స్క్రీన్ ప్రకాశం పై స్టేటస్ కావాలి
eng_Latn	tel_Telu	give me the status on my available memory	నా అందుబాటులో ఉన్న మెమరీపై నాకు స్థితిని ఇవ్వండి
eng_Latn	tel_Telu	i am not tired i am actually happy	నేను అలసిపోలేదు నిజానికి సంతోషంగా ఉన్నాను
eng_Latn	tel_Telu	olly i am not tired i am actually happy	ఒల్లీ నేను అలసిపోలేదు నిజానికి సంతోషంగా ఉన్నాను
eng_Latn	tel_Telu	what's up	ఏంటి సంగతి
eng_Latn	tel_Telu	what's up olly	olly ఏమైంది
eng_Latn	tel_Telu	what's the time in australia	ఆస్ట్రేలియాలో సమయం ఎంత
eng_Latn	tel_Telu	tell me the time in moscow	బక్సాన్ లో సమయం చెప్పు
eng_Latn	tel_Telu	tell me the time in g. m. t. plus five	గ్రీన్విచ్ మీన్ టైమ్ జోన్ ప్లస్ ఐదు లో సమయం చెప్పు
eng_Latn	tel_Telu	olly tell me the time in g. m. t. plus five	ఒల్లీ నాకు జి.ఎం.టి. ప్లస్ ఐదు సమయం చెప్పు
eng_Latn	tel_Telu	olly list most rated delivery options for chinese food	చైనీస్ ఫుడ్ కి డెలివరీ ఆప్షన్ల లిస్టు ఓలి
eng_Latn	tel_Telu	most rated delivery options for chinese food	చైనీస్ ఫుడ్ కి బాగా రేటింగ్ వున్న డెలివరి ఆప్షన్లు
eng_Latn	tel_Telu	list most rated delivery options for chinese food	చైనీస్ ఫుడ్ కి బాగా రేటింగ్ వున్న డెలివరి ఆప్షన్ల లిస్టు
eng_Latn	tel_Telu	olly most rated delivery options for chinese food	ఓలి బాగా రేట్ చేయబడిన చైనీస్ ఫుడ్ డెలివరి ఆప్షన్లు
eng_Latn	tel_Telu	i want some curry to go any recommendations	నాకు ఫిష్ ఫ్రై కావాలి ఏమైనా సూచించగలవా
eng_Latn	tel_Telu	i want some curry to go any recommendations olly	నాకు వెజ్ కర్రి కావాలి ఏమైనా రికమండేషన్లు ఇవ్వగలవా olly
eng_Latn	tel_Telu	find my thai takeaways around grassmarket	థాయ్ పెవిలియన్ లో నా థాయ్ టేక్ అవేలు వెతుకు
eng_Latn	tel_Telu	find my thai takeaways around grassmarket	గడ్డి మార్కెట్ చుట్టుతా నా థాయ్ టేకావేలు వెతుకు
eng_Latn	tel_Telu	cancel my seven am alarm	నా ఏడు ఏ.ఎం. అలారం రద్దు చేయి
eng_Latn	tel_Telu	stop seven am alarm	ఏడు ఏ.ఎం. అలారం ఆపండి
eng_Latn	tel_Telu	what alarms i have set	నేను ఏమి అలారంలు పెట్టాను
eng_Latn	tel_Telu	please list active alarms	దయచేసి చురుకైన అలారములు చెప్పు
eng_Latn	tel_Telu	tell me about my alarms	నా అలారంల గురించి చెప్పు
eng_Latn	tel_Telu	what's happening in football today	ఈరోజు ఫుట్‌బాల్‌లో ఏమి జరుగుతోంది
eng_Latn	tel_Telu	please play yesterday from beatles	దయచేసి నిన్న బీటిల్స్ నుండి ప్లే చేయి
eng_Latn	tel_Telu	i'd like to hear queen's barcelona	నేను అవియల్ నాద నాద వినాలనుకుంటున్నాను
eng_Latn	tel_Telu	play me barcelona by queen	మంగ్లి చేత ఊరంతా నాకు ప్లే చేయి
eng_Latn	tel_Telu	i like rock music	నాకు రాక్ మ్యూజిక్ అంటే ఇష్టం
eng_Latn	tel_Telu	my favorite music band is queen	నాకు ఇష్టమైన మ్యూజిక్ బ్యాండ్ చౌరస్తా
eng_Latn	tel_Telu	i like senatra songs	నాకు ఎస్పీ బాలసుబ్రమణ్యం పాటలు అంటే ఇష్టం
eng_Latn	tel_Telu	start playing music from favorites	ఇష్టమైన వాటి నుండి సంగీతాన్నివినిపించండి
eng_Latn	tel_Telu	please play my best music	నా బెస్ట్ మ్యూజిక్ ప్లే చేయి ప్లీజ్
eng_Latn	tel_Telu	what's the band is playing now	బ్యాండ్ ఇప్పుడు ఏమి ప్లే చేస్తోంది
eng_Latn	tel_Telu	who's current music's author	ప్రస్తుత సంగీత రచయిత ఎవరు
eng_Latn	tel_Telu	what's that the album is current music from	ఆ ఆల్బమ్ ప్రస్తుత సంగీతం ఏది
eng_Latn	tel_Telu	olly i'm really enjoying this song	ఒల్లీ నేను ఈ పాటని బాగా ఎంజాయ్ చేస్తున్నాను
eng_Latn	tel_Telu	the song you are playing is amazing	మీరు ప్లే చేస్తున్న పాట అద్భుతంగా ఉంది
eng_Latn	tel_Telu	this is one of the best songs for me	ఇది నాకు మంచి పాటలలో ఒకటి
eng_Latn	tel_Telu	set lights brightness higher	లైట్ల ప్రకాశాన్ని ఎక్కువ సెట్ చేయండి
eng_Latn	tel_Telu	make lights brightener	లైట్స్ వెలుతురుగా చేయి
eng_Latn	tel_Telu	please raise the lights to max	దయచేసి లైట్లను గరిష్టంగా పెంచండి
eng_Latn	tel_Telu	hey start vacuum cleaner robot	హే స్టార్ట్ వాక్యూమ్ క్లీనర్ రోబోట్
eng_Latn	tel_Telu	turn cleaner robot on	క్లీనర్ రోబోట్‌ని ఆన్ చేయండి
eng_Latn	tel_Telu	tell me today's date	ఈ రోజు తారీకు నాకు చెప్పు
eng_Latn	tel_Telu	what date is it today	ఈ రోజు ఏ తేదీ
eng_Latn	tel_Telu	please order some sushi for dinner	లంచ్ కి కొంత స్పెషల్ మిక్సడ్ సూప్ ఆర్డర్ చేయి ప్లీజ్
eng_Latn	tel_Telu	hey i'd like you to order burger	హే నేను లేంబ్ ఎండ్ టమాటో స్టఫ్ చేసిన బర్గర్ ఆర్డర్ చేయాలి అనుకుంటున్నాను
eng_Latn	tel_Telu	could you order sushi for tonight dinner	ఈరాత్రి విందు కి సుషీ ఆర్డర్ చేయగలవా నువ్వు
eng_Latn	tel_Telu	what's with my dinner order	నా డిన్నర్ ఆర్డర్‌లో ఏముంది
